title,contentsid,type_value,type_label,address,roadaddress,postcode,phoneno,latitude,longitude,region1cd_value,region1cd_label,region2cd_value,region2cd_label,photoid,imgpath,thumbnailpath,introduction,alltags,tag
동일민박,CNTS_200000000009138,c3,숙박,제주특별자치도 제주시 추자면 대서리 4-14,"제주특별자치도 제주시 추자면 대서1길 9, 3층",,010-5477-7929,33.9642903,126.2929862,region3,섬 속의 섬,32,추차도,2019022560516,https://api.cdn.visitjeju.net/photomng/imgpath/201908/21/8568009c-e371-49ab-a892-0ce3a1f10fb4.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/21/4c309944-e7d0-48f2-b305-1d9c84f3481d.JPG,동일민박,"추자민박,추자도,화장실,무료 WIFI,카드결제,현금결제,없음,동반불가능,유료제공,전체금연,없음,운행안함","추자민박,추자도,숙소,민박,농어촌민박,공공와이파이존,조식"
별장민박,CNTS_200000000009129,c3,숙박,제주특별자치도 제주시 추자면 대서리 3-11,제주특별자치도 제주시 추자면 대서1길 9-6,,064-742-3948,33.9642903,126.2929862,region3,섬 속의 섬,32,추차도,2019022560438,https://api.cdn.visitjeju.net/photomng/imgpath/201908/21/ebe1e364-7b9e-4df4-96d0-e1b9ad96673e.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/21/5ea863b5-f2d7-4449-a613-bb68d5f5af02.JPG,아기자기한 골목길 안에 위치한 오리지널 민박,"추자골목,등대산공원,추자도,화장실,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,전체금연,없음,운행안함","추자골목,등대산공원,추자도,숙소,민박,농어촌민박,주차장,중문관광단지"
늘푸른 게스트하우스,CNTS_000000000022092,c3,숙박,제주특별자치도 서귀포시 대정읍 하모리 540-1,제주특별자치도 서귀포시 대정읍 하모백사로 29,63513,010-5049-4910,33.21422,126.25916,region2,서귀포시,22,대정,12778,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/654f45ca-047d-4a61-a9c5-7ec36e2bd4c1.png,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/91c07f60-b90d-4421-a031-af3d66e5e090.png,해모 해변 인근에 위치한 펜션,"숙소,게스트하우스,공공와이파이존,교통,해수욕장,독채,단체여행객,온돌방,무료 WIFI","숙소,게스트하우스,공공와이파이존,교통,해수욕장,독채,단체여행객,온돌방,농어촌민박"
나무이야기,CONT_000000000500809,c3,숙박,제주특별자치도 서귀포시 남원읍 남원리 153-3,제주특별자치도 서귀포시 남원읍 남한로21번길 9,,010-3389-4071,33.2808477,126.7166153,region2,서귀포시,25,남원,21136,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a23c46b7-0d0b-4725-bec8-bf6b7056c8f0.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c757ce54-2232-4b1b-935a-94d0cf3cd40c.jpg,올래5코스 시작점에 위치한 편백나무와 삼나무 등 나무로 내부 인테리어가 된 곳,"게스트하우스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,어려움","게스트하우스,숙소,민박,오름투어,낚시,체험,온돌방,바비큐,공공와이파이존,해변,편백나무펜션,독채,방갈로숙박촌,농어촌민박"
펜션형민박꿈꾸는숲,CNTS_000000000019229,c3,숙박,제주특별자치도 서귀포시 호근동 214-6,제주특별자치도 서귀포시 태평로205번길 43-7,63571,064-738-1010,33.24747,126.53994,region2,서귀포시,21,서귀포시내,4571,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0700c545-9108-474d-bc92-9a7b7987c5e1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5d83984d-79ea-49b1-a5bc-8f84cf9047b3.jpg,바다가 한눈에 보이는 리조트,"펜션,숙소,휴양펜션,숲,민박,농어촌민박,힐링쉼터,바비큐,서귀포,공용주차장,현금결제,카드결제,화장실,무료 WIFI,아주 어려움","펜션,숙소,휴양펜션,숲,민박,농어촌민박,힐링쉼터,바비큐,서귀포"
케이관광호텔제주,CNTS_000000000018201,c3,숙박,제주특별자치도 제주시 연동 251-79,제주특별자치도 제주시 연동3길 10,,064-743-2123,33.4890764,126.4879086,region1,제주시,11,제주시내,1573,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a65e66f1-2abf-43e4-9b0b-533e683a5c71.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/31a089f1-8e44-4482-bd09-999cc40cc3fb.gif,제주시내 상권에 위치하고 있는 모던한 이미지의 관광호텔,"호텔,숙소,관광호텔,공공와이파이존,엘리베이터,가족호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,장애인 전용 객실,쉬움","호텔,숙소,관광호텔,공공와이파이존,엘리베이터,가족호텔,무장애관광"
아일랜드펜션,CNTS_000000000019099,c3,숙박,제주특별자치도 서귀포시 성산읍 수산리 3988-3,제주특별자치도 서귀포시 성산읍 금백조로131번길 176,,010-3789-1645,33.4311796,126.8443512,region2,서귀포시,17,성산,4343,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a99f42c9-7ad6-4626-ba6f-19f23eda227b.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e6d979d9-fb5e-475e-b7d0-8b7bf57fcd4d.gif,성산일출봉 인근에 위치한 펜션,"휴식,숙소,펜션,휴양펜션,바비큐,단체여행객,힐링쉼터,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움","휴식,숙소,펜션,휴양펜션,바비큐,단체여행객,힐링쉼터"
해돋는마을,CNTS_000000000019183,c3,숙박,제주특별자치도 서귀포시 성산읍 오조리 16-1,제주특별자치도 서귀포시 성산읍 한도로 116-1,,010-9898-0767,33.468183,126.9203552,region2,서귀포시,17,성산,4519,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ec84d137-ff30-4c67-83ce-4f0313d58c87.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/01847aaa-6d57-43b5-aa77-275b1cdb2f26.gif,해돋는 마을은 우도와 일출봉이 눈앞에 보이는 곳에 위치한 콘도형 민박입니다.,"휴식,숙소,휴양펜션,펜션,온돌방,해변,가족,자연경관,휴양콘도,민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","휴식,숙소,휴양펜션,펜션,온돌방,해변,가족,자연경관,휴양콘도,민박"
하늘타리펜션,CNTS_000000000019096,c3,숙박,제주특별자치도 제주시 외도이동 1991,제주특별자치도 제주시 연대마을길 59,,064-742-7042,33.4938535,126.4245732,region1,제주시,11,제주시내,4320,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f1d108c7-7b16-428e-acd2-c369af145fd7.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/f509b8d8-2728-48b4-b5b9-67d3422d02a3.gif,전객실 바닷가 전망이 가능한 펜션,"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","휴식,숙소,휴양펜션,펜션,바비큐,체험,단체여행객,가족,공공와이파이존"
바닷가하우스펜션,CNTS_000000000018700,c3,숙박,제주특별자치도 서귀포시 대정읍 상모리 73,제주특별자치도 서귀포시 대정읍 형제해안로 254,,064-794-0977,33.2122165,126.2921599,region2,서귀포시,22,대정,3527,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/af159557-bdf4-4fcf-82eb-edf0b8896be5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/09e8485e-0427-4fa3-83c7-1ad26a9cb2b5.jpg,산방산과 송악산의 맑은 공기가 숨쉬는 마을,"민박,숙소,휴양펜션,펜션,자연경관,해변,어린이,해수욕장,어린이놀이방,공공와이파이존,온돌방,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움","민박,숙소,휴양펜션,펜션,자연경관,해변,어린이,해수욕장,어린이놀이방,공공와이파이존,온돌방,가족"
