title,contentsid,type_value,type_label,address,roadaddress,postcode,phoneno,latitude,longitude,region1cd_value,region1cd_label,region2cd_value,region2cd_label,photoid,imgpath,thumbnailpath,introduction,alltags,tag,,,,,,,,,
비자블라썸,CNTS_200000000007261,c4,음식점,제주특별자치도 제주시 구좌읍 평대리 3210-4,제주특별자치도 제주시 구좌읍 비자림로 2244,-,010-4449-3885,33.5312449,126.8506911,region1,제주시,16,구좌,2018052302856,https://api.cdn.visitjeju.net/photomng/imgpath/201807/20/f50253a0-5192-455f-8585-1b7ee86003f7.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201807/20/1f975e5e-4835-4d24-b22e-284ac60f7005.jpg,비자림 근처에 위치한 브런치 카페,"커피,디저트,파스타,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제","커피,디저트,파스타,음식,아메리카노,바닐라라떼,카페라떼,녹차라떼,카페모카,아이스티,차,청귤차,오미자주스,주스,젤라또,카라멜마끼아또,라떼,생강라떼,크림라떼,핫초코,허브티,홍차,캐모마일,페퍼민트,얼그레이,유자차,오미자차,생과일주스,패션후르츠망고에이드,에이드,케이크,치즈케이크,바게트,샌드위치,감자튀김",,,,,,,,,
유심이감성찜닭,CNTS_200000000009123,c4,음식점,제주특별자치도 제주시 추자면 영흥리 364-18,제주특별자치도 제주시 추자면 추자로 78,,010-3512-9016,33.9567036,126.2969646,region3,섬 속의 섬,32,추차도,2019022560393,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/a3245e97-aaf4-4ff9-a6fd-fc95d2e90346.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/b1a8100a-ef60-454a-8428-ed96c09ea800.jpg,추자바다 바라보며 먹는 감성 찜닭,"추자찜닭,추자닭도리탕,추자음식점,추자식당,추자백숙,추자도,음식,닭볶음탕,찜닭,닭도리탕,삼계탕,백숙,갈비찜,식당,정식,굴비정식,물회,회비빔밥,멍게비빔밥,비빔밥,오리주물럭,삼겹살주물럭,주물럭,치즈계란말이,오리백숙,옻닭백숙,토종닭백숙,아구탕,홍합탕,무료 WIFI,공용주차장,화장실,카드결제,현금결제,쉬움","추자찜닭,추자닭도리탕,추자음식점,추자식당,추자백숙,추자도,음식,닭볶음탕,찜닭,닭도리탕,삼계탕,백숙,갈비찜,식당,정식,굴비정식,물회,회비빔밥,멍게비빔밥,비빔밥,오리주물럭,삼겹살주물럭,주물럭,치즈계란말이,오리백숙,옻닭백숙,토종닭백숙,아구탕,홍합탕",,,,,,,,,
솜반내풍경,CNTS_000000000022942,c4,음식점,제주특별자치도 서귀포시 서홍동 1223-7,제주특별자치도 서귀포시 서홍로 60,63584,064-732-1600,33.253227,126.55367,region2,서귀포시,21,서귀포시내,2018052300026,https://api.cdn.visitjeju.net/photomng/imgpath/201805/23/02ba2619-b750-4a93-8253-56ec780e814e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201805/23/aa8e230e-c1c6-4849-8216-913f6122d5c5.jpg,서홍동 주민들이 함께 운영하는 마을카페,"마을카페,음식,아메리카노,카푸치노,과일주스,바닐라라떼,카페라떼,딸기라떼,아이스티,커피,에스프레소,카라멜마끼아또,고구마라떼,라떼,생과일주스,블루베리요거트스무디,에이드,레몬에이드,복숭아아이스티,레몬아이스티,유자차,생강차,레몬차,매실차,차","마을카페,음식,아메리카노,카푸치노,과일주스,바닐라라떼,카페라떼,딸기라떼,아이스티,커피,에스프레소,카라멜마끼아또,고구마라떼,라떼,생과일주스,블루베리요거트스무디,에이드,레몬에이드,복숭아아이스티,레몬아이스티,유자차,생강차,레몬차,매실차,차",,,,,,,,,
잔디가미,CNTS_000000000022454,c4,음식점,제주특별자치도 제주시 우도면 연평리 26,제주특별자치도 제주시 우도면 우도해안길 912,,0507-1304-4113,33.4972931,126.9671356,region3,섬 속의 섬,31,우도,14639,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4ebdbcb4-6894-42c1-a690-c67c0ce858e0.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/d4448694-31d4-41ff-8dfe-9db0823bcfc0.jpg,대표메뉴는 특허 수제 발효빵,"빵집,아이스크림,땅콩빵,초콜릿,음식,빵,우도,아메리카노","빵집,아이스크림,땅콩빵,초콜릿,음식,빵,우도,아메리카노",,,,,,,,,
토투가커피,CNTS_200000000014702,c4,음식점,제주특별자치도 제주시 한림읍 귀덕리 3020-2,제주특별자치도 제주시 한림읍 귀덕9길 19,,0507-1374-6121,33.442856,126.2899532,region1,제주시,13,한림,2019022614457,https://api.cdn.visitjeju.net/photomng/imgpath/202305/24/a1b6bf98-c2dd-4cf2-8bf9-27305f199e79.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/24/ba7ec3fd-ab03-45fe-80f0-fe97fb212890.jpg,제주 돌담을 닮은 한림 바다 앞 카페,"한림, 까눌레, 핸드드립커피,핸드드립커피, 까눌레","한림, 까눌레, 핸드드립커피",,,,,,,,,
구씨커피로스터스,CNTS_200000000014747,c4,음식점,제주특별자치도 제주시 구좌읍 세화리 1524-3,제주특별자치도 제주시 구좌읍 구좌로 21,,0507-1322-2917,33.5236296,126.8539539,region1,제주시,16,구좌,2019022613704,https://api.cdn.visitjeju.net/photomng/imgpath/202305/18/c06c962c-ca4e-45e6-ab2e-52032b63c34e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/18/40f3690d-2ba0-47e4-99ed-18713e8928fa.jpg,마이크로랏 커피를 직접 로스팅하고 브루잉하는 곳,"구좌읍, 세화, 핸드드립커피, 스페셜티, 라떼,핸드드립커피, 구라떼","구좌읍, 세화, 핸드드립커피, 스페셜티, 라떼",,,,,,,,,
심봉사눈뜬톳해물짜장짬뽕,CNTS_000000000021641,c4,음식점,제주특별자치도 서귀포시 대정읍 가파리 589,제주특별자치도 서귀포시 대정읍 마라로 43,63515,064-794-0489,33.119724,126.26715,region3,섬 속의 섬,33,마라도,11631,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/736c835c-f0c0-472b-8cb4-9a58709dd7f6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6054f4e1-e3c7-4da6-a63e-634348d2ec1d.jpg,마라도 톳 해물 짜장 짬뽕 전문점.,"짜장면,짬뽕,중식,톳","짜장면,짬뽕,중식,톳,음식,해물짬뽕,탕수육,해물짜장,해산물모둠,군만두",,,,,,,,,
카페오놀,CNTS_300000000015966,c4,음식점,제주특별자치도 서귀포시 대포동 2367-1,제주특별자치도 서귀포시 대포로 174,,064-749-4564,33.2387788,126.4396208,region2,서귀포시,21,서귀포시내,2019022618626,https://api.cdn.visitjeju.net/photomng/imgpath/202306/27/7bd359f5-db22-4a67-ac66-48f10ed5641c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/27/5e0738e3-16dd-4629-aaf4-53ca02c7e7a5.jpg,동물복지 유기농 우유를 이용한 다양한 디저트,"서귀포, 대포동, 디저트, 판나코타, 빙수, 케이크, 아이스크림라떼, 커피,유기농 애플망고 우유빙수, 제주 제철과일 판나코타","서귀포, 대포동, 디저트, 판나코타, 빙수, 케이크, 아이스크림라떼, 커피",,,,,,,,,
하양한,CNTS_300000000015646,c4,음식점,제주특별자치도 제주시 조천읍 함덕리 1233,제주 제주시 조천읍 신북로 494-2 하양한,,0507-1322-1061,33.5399959,126.8311675,region1,제주시,16,구좌,2019022615053,https://api.cdn.visitjeju.net/photomng/imgpath/202305/26/aee2c494-0dfd-49d6-8cec-3ae2a9047f90.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/26/79dc6022-7cb5-4298-9455-7334939fa8ea.jpg,하얗고 포근한 느낌의 수제 푸딩전문점,"구좌읍, 한동리, 감귤푸딩, 말차푸딩, 요거트아이스크림,우유푸딩, 감귤푸딩","구좌읍, 한동리, 감귤푸딩, 말차푸딩, 요거트아이스크림",,,,,,,,,
페이지2,CNTS_300000000015643,c4,음식점,제주특별자치도 제주시 구좌읍 행원리 92,제주특별자치도 제주시 구좌읍 해맞이해안로 820,,010-3457-9941,33.5546013,126.8247917,region1,제주시,16,구좌,2019022615043,https://api.cdn.visitjeju.net/photomng/imgpath/202305/26/2776ac1f-b19a-4a50-85fc-10c7a3fe1317.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/26/8982375b-a84d-49b5-8709-2afa9402d993.jpg,바다가보이는 공간에 특별한 디저트가 있는 곳,"구좌읍, 월정리, 코코넛라떼, 홍차, 감귤차, 증편 모나카, 송편,우리두리라떼","구좌읍, 월정리, 코코넛라떼, 홍차, 감귤차, 증편 모나카, 송편",,,,,,,,,
슬로우카페,CNTS_000000000021205,c4,음식점,제주특별자치도 서귀포시 남원읍 남원리 167,제주특별자치도 서귀포시 남원읍 일주동로 7137,63626,064-764-7734,33.2827341,126.7177653,region2,서귀포시,25,남원,10867,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3f4dfe16-43d8-4e29-a7d9-5db1eebc9b7a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/2929f9d6-5e6e-4423-a13c-ad8d50f16c14.jpg,제주 바다와 함께하는 휴식,"카페,샌드위치,치아바타,떡볶이,음식,브런치,디저트,허니브레드,핸드드립커피,핸드드립과테말라,핸드드립콜롬비아슈프리모,핸드드립에티오피아예가체프,에스프레소,아메리카노,카페라떼,카라멜마끼아또,비엔나커피,아포가토,녹차라떼,복숭아아이스티,아이스티,코코아,라떼,생과일주스,토마토주스,키위주스,딸기주스,블루베리주스,스무디,블루베리스무디,망고스무디,딸기스무디,에이드,유자에이드,레몬에이드,자몽에이드,공용주차장,현금결제,카드결제,화장실,아주 어려움","카페,샌드위치,치아바타,떡볶이,음식,브런치,디저트,허니브레드,핸드드립커피,핸드드립과테말라,핸드드립콜롬비아슈프리모,핸드드립에티오피아예가체프,에스프레소,아메리카노,카페라떼,카라멜마끼아또,비엔나커피,아포가토,녹차라떼,복숭아아이스티,아이스티,코코아,라떼,생과일주스,토마토주스,키위주스,딸기주스,블루베리주스,스무디,블루베리스무디,망고스무디,딸기스무디,에이드,유자에이드,레몬에이드,자몽에이드",,,,,,,,,
소보리당로222,CNTS_300000000015805,c4,음식점,제주특별자치도 서귀포시 상예동 2850-5,제주특별자치도 서귀포시 소보리당로 222,,0507-1308-7896,33.2629184,126.3832605,region2,서귀포시,21,서귀포시내,2019022616588,https://api.cdn.visitjeju.net/photomng/imgpath/202306/08/525b54d5-65c9-4856-a77d-a42500fad1e1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/08/f05aacef-f175-41f9-aaf2-a637c566f87b.jpg,부드러운 수제 티라미수와 쫀득한 약과,"서귀포, 상예동, 커피, 아인슈페너, 약과, 매실에이드, 티라미수, 팥인절미티라미수,팥인절미티라미수, 약과아포가토,어린이 출입불가","서귀포, 상예동, 커피, 아인슈페너, 약과, 매실에이드, 티라미수, 팥인절미티라미수",,,,,,,,,
영진보말칼국수제주협재점,CNTS_200000000014816,c4,음식점,제주특별자치도 제주시 한림읍 한림리 1587-2,제주특별자치도 제주시 한림읍 한림로5길 23,,0507-1407-2080,33.4146749,126.2613245,region1,제주시,13,한림,2019022614584,https://api.cdn.visitjeju.net/photomng/imgpath/202305/24/ec478278-4f4d-476f-8fd0-7a21a57b4832.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/24/8e4d0b4b-6575-4c60-9904-ca8a94de4774.jpg,칼국수면을 직접 만드는 보말요리 전문점,"한림, 보말칼국수, 보말미역국, 보말삼계탕, 보말죽, 거북손, 바지락,보말칼국수","한림, 보말칼국수, 보말미역국, 보말삼계탕, 보말죽, 거북손, 바지락",,,,,,,,,
신스버거,CNTS_000000000021501,c4,음식점,제주특별자치도 제주시 한림읍 월령리 525-1,제주특별자치도 제주시 한림읍 월령2길 2,63010,0507-1336-5574,33.3746401,126.2166188,region1,제주시,13,한림,11429,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/40d5bcef-6ee7-49c5-b5a4-e6322d2c6794.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/accfa926-15da-4331-b8d1-d6608dc8ffe9.jpg,제주도 흑돼지로 만든 수제버거 전문점 신스버거,"버거,볶음밥,함박스테이크,수제버거,음식,햄버거스테이크,햄버거,흑돼지,파스타,불갈비버거,새우크림파스타,감자튀김,새우버거,핸드드립커피","버거,볶음밥,함박스테이크,수제버거,음식,햄버거스테이크,햄버거,흑돼지,파스타,불갈비버거,새우크림파스타,감자튀김,새우버거,핸드드립커피",,,,,,,,,
앞돈지,CONT_000000000501303,c4,음식점,제주특별자치도 제주시 중앙로1길 28(건입동),제주특별자치도 제주시 중앙로1길 28(건입동),,064-723-0988,33.516056,126.52759,region1,제주시,11,제주시내,24971,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/34a6fc15-1aae-4781-9db2-7c32ffd3a3be.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/15c24e32-962b-47b8-a5e6-8d528644de3b.jpg,앞돈지에서만 즐길 수 있는 쥐치조림이 유명한 곳,"쥐치조림,갈치조림,고등어조림,한식,음식,갈치,몸국,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","쥐치조림,갈치조림,고등어조림,한식,음식,갈치,몸국",,,,,,,,,
바람과바다,CNTS_300000000015634,c4,음식점,제주특별자치도 제주시 조천읍 신흥리 870,제주특별자치도 제주시 조천읍 조함해안로 174,,010-6592-5949,33.5508067,126.6419192,region1,제주시,15,조천,2019022614965,https://api.cdn.visitjeju.net/photomng/imgpath/202305/26/2a888a10-724d-4cde-8c3e-0fc9ac272991.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/26/beed97d7-98bd-467d-b06b-c48af436bb9d.jpg,"푸른바다와 일몰, 석양이 예쁜 카페","조천, 아인슈페너, 수제차, 에이드, 생딸기우유, 샌드위치, 크로플, 와플,한라봉아인슈페너","조천, 아인슈페너, 수제차, 에이드, 생딸기우유, 샌드위치, 크로플, 와플",,,,,,,,,
