name,address,Key_money,area,Key_money/area,0,1,2,3,4,5
일송회수산,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 13,70410000,55.0,1280181.818,제주특별자치도,서귀포시,남원읍,위미중앙로196번길,13,
드로우마인,제주특별자치도 서귀포시 동홍서로 104-10,26600000,20.0,1330000.0,제주특별자치도,서귀포시,동홍서로,104-10,,
IN HAIR,제주특별자치도 서귀포시 서호남로 91,18090000,10.0,1809000.0,제주특별자치도,서귀포시,서호남로,91,,
더디퍼,제주특별자치도 서귀포시 서호남로32번길 28,79880000,37.0,2158918.919,제주특별자치도,서귀포시,서호남로32번길,28,,
그린샐러드&샌드위치,제주특별자치도 서귀포시 서호중앙로 55,85120000,7.0,12160000.0,제주특별자치도,서귀포시,서호중앙로,55,,
행복한밥상,제주특별자치도 서귀포시 성산읍 난고로 470,205690000,30.0,6856333.333,제주특별자치도,서귀포시,성산읍,난고로,470,
성산카페 어반정글 부얀트무드,제주특별자치도 서귀포시 성산읍 신고로22번길 39,70880000,40.0,1772000.0,제주특별자치도,서귀포시,성산읍,신고로22번길,39,
제주로운청해원 성산점,제주특별자치도 서귀포시 성산읍 신양로 101,75620000,40.0,1890500.0,제주특별자치도,서귀포시,성산읍,신양로,101,
서귀피안 베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17,31390000,300.0,104633.3333,제주특별자치도,서귀포시,성산읍,신양로122번길,17,
빽다방제주성산일출봉점,제주특별자치도 서귀포시 성산읍 일출로 280-4,177620000,25.0,7104800.0,제주특별자치도,서귀포시,성산읍,일출로,280-4,
세븐먼스,제주특별자치도 서귀포시 신북로 6,167130000,16.0,10445625.0,제주특별자치도,서귀포시,신북로,6,,
버터리아,제주특별자치도 서귀포시 일주동로 8712-2,16440000,7.0,2348571.429,제주특별자치도,서귀포시,일주동로,8712-2,,
카페록키,제주특별자치도 서귀포시 일주동로 9117,37540000,27.0,1390370.37,제주특별자치도,서귀포시,일주동로,9117,,
갈치왕 중문점,제주특별자치도 서귀포시 일주서로 1146,9070000,40.0,226750.0,제주특별자치도,서귀포시,일주서로,1146,,
육회포장,제주특별자치도 서귀포시 정방로 5,47190000,16.0,2949375.0,제주특별자치도,서귀포시,정방로,5,,
제주이모네,제주특별자치도 서귀포시 중산간동로 8369,61390000,11.0,5580909.091,제주특별자치도,서귀포시,중산간동로,8369,,
제주모스,제주특별자치도 서귀포시 중앙로 50,13220000,35.0,377714.2857,제주특별자치도,서귀포시,중앙로,50,,
신우철강,제주특별자치도 서귀포시 중앙로 82,18010000,15.0,1200666.667,제주특별자치도,서귀포시,중앙로,82,,
오늘도 카페일리터 서귀포점,제주특별자치도 서귀포시 중앙로 82,75200000,7.0,10742857.14,제주특별자치도,서귀포시,중앙로,82,,
