useCost,Key_money
4474000,92319421.05263157
8459100,92319421.05263157
4403500,92319421.05263157
23659532,92319421.05263157
5511100,92319421.05263157
25387500,92319421.05263157
3084850,92319421.05263157
14373060,92319421.05263157
62000,92319421.05263157
360000,92319421.05263157
4591600,92319421.05263157
3988600,92319421.05263157
79170850,92319421.05263157
151889500,92319421.05263157
195317360,92319421.05263157
325086394,92319421.05263157
258896960,92319421.05263157
377360139,92319421.05263157
377362353,92319421.05263157
415892612,92319421.05263157
6309450,92319421.05263157
5042150,92319421.05263157
407825240,92319421.05263157
258732290,92319421.05263157
12809940,92319421.05263157
26505163,92319421.05263157
33190942,92319421.05263157
72294220,92319421.05263157
41856976,92319421.05263157
67920126,92319421.05263157
51997841,92319421.05263157
50017075,92319421.05263157
113220,92319421.05263157
1438600,92319421.05263157
22011699,92319421.05263157
20634113,92319421.05263157
52438060,92319421.05263157
77651290,92319421.05263157
75992540,92319421.05263157
145519930,92319421.05263157
99499290,92319421.05263157
193623523,92319421.05263157
108961860,92319421.05263157
158404000,92319421.05263157
1398450,92319421.05263157
3069910,92319421.05263157
78250520,92319421.05263157
88237800,92319421.05263157
25605260,92319421.05263157
29258380,92319421.05263157
42650004,92319421.05263157
46510728,92319421.05263157
33348670,92319421.05263157
39875744,92319421.05263157
41784812,92319421.05263157
45362981,92319421.05263157
1313330,92319421.05263157
911950,92319421.05263157
49819370,92319421.05263157
25949630,92319421.05263157
33559556,92319421.05263157
145922497,92319421.05263157
58400300,92319421.05263157
205865840,92319421.05263157
57508545,92319421.05263157
122473935,92319421.05263157
44757300,92319421.05263157
48655890,92319421.05263157
629900,92319421.05263157
727700,92319421.05263157
18900235,92319421.05263157
17121310,92319421.05263157
28560555,92319421.05263157
85914244,92319421.05263157
70322221,92319421.05263157
187875865,92319421.05263157
73711183,92319421.05263157
197872983,92319421.05263157
63559241,92319421.05263157
142231817,92319421.05263157
392900,92319421.05263157
705703,92319421.05263157
50911641,92319421.05263157
68591961,92319421.05263157
15906200,92319421.05263157
43076000,92319421.05263157
32006400,92319421.05263157
177804380,92319421.05263157
27837373,92319421.05263157
216974300,92319421.05263157
20334000,92319421.05263157
114918200,92319421.05263157
559700,92319421.05263157
585500,92319421.05263157
22051700,92319421.05263157
39909955,92319421.05263157
169156209,92319421.05263157
384008936,92319421.05263157
401238930,92319421.05263157
973177635,92319421.05263157
530041047,92319421.05263157
998648314,92319421.05263157
562195533,92319421.05263157
889153494,92319421.05263157
11830740,92319421.05263157
11875570,92319421.05263157
536235139,92319421.05263157
496482176,92319421.05263157
36923649,92319421.05263157
75543214,92319421.05263157
74534806,92319421.05263157
201011932,92319421.05263157
104890474,92319421.05263157
240588664,92319421.05263157
72914516,92319421.05263157
147070430,92319421.05263157
1574244,92319421.05263157
1007050,92319421.05263157
58217084,92319421.05263157
54550691,92319421.05263157
368451592,92319421.05263157
546073169,92319421.05263157
802192882,92319421.05263157
1237493484,92319421.05263157
974289790,92319421.05263157
1365055576,92319421.05263157
930574225,92319421.05263157
1149478799,92319421.05263157
15848600,92319421.05263157
13383230,92319421.05263157
739091401,92319421.05263157
609065038,92319421.05263157
166497679,92319421.05263157
217688440,92319421.05263157
292748713,92319421.05263157
347418012,92319421.05263157
292460152,92319421.05263157
357681000,92319421.05263157
267752588,92319421.05263157
321956855,92319421.05263157
6654800,92319421.05263157
12858450,92319421.05263157
267383947,92319421.05263157
183468149,92319421.05263157
