시도,군구,관광지,총계
제주특별자치도,서귀포시,천지연폭포,2507172
제주특별자치도,제주시,한라산국립공원,2155639
제주특별자치도,제주시,비자림,2094672
제주특별자치도,서귀포시,중문대포해안주상절리대,2050526
제주특별자치도,서귀포시,성산일출봉,1782849
제주특별자치도,서귀포시,정방폭포,1640313
제주특별자치도,제주시,절물자연휴양림,1596805
제주특별자치도,서귀포시,한화아쿠아플라넷제주,1549976
제주특별자치도,서귀포시,마라해양도립공원,1492207
제주특별자치도,서귀포시,카멜리아힐,1368326
제주특별자치도,서귀포시,산방산,1187698
제주특별자치도,제주시,만장굴관광지,1138013
제주특별자치도,서귀포시,천제연폭포,1024594
제주특별자치도,서귀포시,서귀포자연휴양림,443662
제주특별자치도,제주시,국립제주박물관,432192
제주특별자치도,서귀포시,박물관은살아있다,423773
제주특별자치도,제주시,제주돌문화공원,360165
제주특별자치도,제주시,민속자연사박물관,275896
제주특별자치도,제주시,항몽 유적지,252760
제주특별자치도,서귀포시,이중섭미술관,251805
제주특별자치도,서귀포시,일출랜드,248232
제주특별자치도,제주시,제주현대미술관,245543
제주특별자치도,서귀포시,퍼시픽랜드,233601
제주특별자치도,서귀포시,서귀포도립해양공원,228057
제주특별자치도,제주시,해녀 박물관,198812
제주특별자치도,제주시,제주항일기념관,181552
제주특별자치도,제주시,제주도립 김창열미술관,162900
제주특별자치도,제주시,제주목관아지,152776
제주특별자치도,서귀포시,감귤박물관,150938
제주특별자치도,제주시,도립미술관,126848
제주특별자치도,서귀포시,제주추사관,82310
제주특별자치도,제주시,제주별빛누리공원,60229
제주특별자치도,서귀포시,서복전시관,53548
제주특별자치도,제주시,삼양선사유적지,48284
제주특별자치도,서귀포시,기당미술관,36058
제주특별자치도,서귀포시,제주국제평화센터,30890
